original_title,start_year,runtime_mins,genre,average_rating,num_votes
Red Dog,2011,92.0,"Biography,Comedy,Drama",7.4,15357
Warcraft,2016,123.0,"Action,Adventure,Fantasy",6.9,225557
Devil's Knot,2013,114.0,"Biography,Crime,Drama",6.1,18716
It's Kind of a Funny Story,2010,101.0,"Comedy,Drama,Romance",7.1,125583
La mula,2013,100.0,"Comedy,Drama",6.2,653
A Letter to Elia,2010,60.0,Documentary,7.6,799
The Last Pogo Jumps Again,2013,200.0,"Documentary,Music",9.3,42
Tooth Fairy,2010,101.0,"Comedy,Family,Fantasy",5.0,37939
Belle du Seigneur,2012,104.0,"Drama,Romance",5.3,1125
Cross the Line,2010,87.0,Action,3.9,39
The Danish Girl,2015,119.0,"Biography,Drama,Romance",7.1,146873
Eyes of the Mothman,2011,150.0,Documentary,6.3,293
Jack and Jill,2011,91.0,Comedy,3.3,71361
Take Me Home Tonight,2011,97.0,"Comedy,Drama,Romance",6.3,48393
Plumíferos - Aventuras voladoras,2010,80.0,"Adventure,Animation,Family",4.0,165
The King Hector Lavoe,2011,90.0,"Drama,Music",7.4,65
The Do-Deca-Pentathlon,2012,76.0,Comedy,6.0,1627
American Flyer,2010,100.0,Adventure,6.4,85
Percy Jackson & the Olympians: The Lightning Thief,2010,118.0,"Adventure,Family,Fantasy",5.9,165108
Ashes,2010,77.0,Drama,7.1,68
She's Out of My League,2010,104.0,"Comedy,Romance",6.4,117245
Card Subject to Change,2010,87.0,Documentary,6.7,223
The Book Thief,2013,131.0,"Drama,War",7.6,119023
Conan the Barbarian,2011,113.0,"Action,Adventure,Fantasy",5.2,90834
Shanghai Hotel,2011,110.0,Drama,6.3,36
Interstellar,2014,169.0,"Adventure,Drama,Sci-Fi",8.6,1299334
World War Z,2013,116.0,"Action,Adventure,Horror",7.0,553751
Flipped,2010,90.0,"Comedy,Drama,Romance",7.7,74937
Valentine's Day,2010,125.0,"Comedy,Romance",5.7,107171
The Power of Few,2013,96.0,"Action,Crime,Drama",5.2,3322
Dreamkiller,2010,110.0,Thriller,4.9,105
Manhattan Minutiae,2016,99.0,"Comedy,Music,Romance",5.6,19
Priest,2011,87.0,"Action,Adventure,Fantasy",5.7,108320
Où va la nuit,2011,105.0,Drama,6.5,121
Maximum Ride,2016,88.0,"Action,Adventure,Comedy",3.7,3913
Caravaggio and My Mother the Pope,2018,90.0,"Comedy,Drama",8.9,51
Return to Yucca Flats: Desert Man-Beast,2010,79.0,"Comedy,Horror",5.8,21
Wild in the Streets,2012,82.0,Documentary,8.3,37
Dracula Untold,2014,92.0,"Action,Drama,Fantasy",6.3,164829
Gallowwalkers,2012,90.0,"Action,Horror,Thriller",3.6,6793
Waking Madison,2010,89.0,Drama,6.0,1317
Godzilla,2014,123.0,"Action,Adventure,Sci-Fi",6.4,350687
Land,2010,76.0,Documentary,7.4,33
