release_date,title,prod_budget,domestic_gross,worldwide_gross,start_year,runtime_mins,genre,average_rating,num_votes
2012-11-08,Skyfall,200000000,304360277,1110526981,2012,143.0,"Action,Adventure,Thriller",7.8,592221
2013-06-21,Monsters University,200000000,268488329,743588329,2013,104.0,"Adventure,Animation,Comedy",7.3,291887
2013-03-08,Oz the Great and Powerful,200000000,234770996,490359051,2013,130.0,"Adventure,Family,Fantasy",6.3,192045
2014-05-23,X-Men: Days of Future Past,200000000,233921534,747862775,2014,132.0,"Action,Adventure,Sci-Fi",8.0,620079
2014-05-02,The Amazing Spider-Man 2,200000000,202853933,708996336,2014,142.0,"Action,Adventure,Sci-Fi",6.6,388363
2011-06-24,Cars 2,200000000,191450875,560155383,2011,106.0,"Adventure,Animation,Comedy",6.2,138914
2018-11-16,Fantastic Beasts: The Crimes of Grindelwald,200000000,159555901,652220086,2018,134.0,"Adventure,Family,Fantasy",6.6,163151
2011-06-17,Green Lantern,200000000,116601172,219535492,2011,114.0,"Action,Adventure,Sci-Fi",5.5,252281
2011-06-29,Transformers: Dark of the Moon,195000000,352390543,1123790543,2011,154.0,"Action,Adventure,Sci-Fi",6.2,366409
2017-06-09,The Mummy,195000000,80101125,409953905,2017,110.0,"Action,Adventure,Fantasy",5.5,154345
2013-03-01,Jack the Giant Slayer,195000000,65187603,197687603,2013,114.0,"Adventure,Fantasy",6.3,123127
2013-05-16,Star Trek Into Darkness,190000000,228778661,467381584,2013,132.0,"Action,Adventure,Sci-Fi",7.7,445535
2013-06-21,World War Z,190000000,202359711,531514650,2013,116.0,"Action,Adventure,Horror",7.0,553751
2013-05-10,The Great Gatsby,190000000,144840419,351040419,2013,143.0,"Drama,Romance",7.3,433165
2013-07-12,Pacific Rim,190000000,101802906,411002906,2013,131.0,"Action,Adventure,Sci-Fi",6.9,443667
2015-11-25,The Good Dinosaur,187500000,123087120,333771037,2015,93.0,"Adventure,Animation,Comedy",6.7,91465
2012-06-22,Brave,185000000,237282182,554606532,2012,93.0,"Adventure,Animation,Comedy",7.1,338728
2017-03-10,Kong: Skull Island,185000000,168052812,561072059,2017,118.0,"Action,Adventure,Fantasy",6.6,237720
2016-07-22,Star Trek Beyond,185000000,158848340,335802233,2016,122.0,"Action,Adventure,Sci-Fi",7.1,209844
2017-10-06,Blade Runner 2049,185000000,92054159,259357408,2017,164.0,"Drama,Mystery,Sci-Fi",8.0,376241
2019-05-24,Aladdin,182000000,246734314,619234314,2019,128.0,"Adventure,Comedy,Family",7.4,57549
2017-11-03,Thor: Ragnarok,180000000,315058289,846980024,2017,130.0,"Action,Adventure,Comedy",7.9,482995
2014-05-30,Maleficent,180000000,241407328,758536735,2014,97.0,"Action,Adventure,Family",7.0,305832
2016-11-18,Fantastic Beasts and Where to Find Them,180000000,234037575,802402853,2016,132.0,"Adventure,Family,Fantasy",7.3,365353
2016-07-01,The Legend of Tarzan,180000000,126643061,348902025,2016,110.0,"Action,Adventure,Drama",6.3,150154
2011-11-23,Hugo,180000000,73864507,180047784,2011,126.0,"Adventure,Drama,Family",7.5,284869
2017-07-21,Valerian and the City of a Thousand Planets,180000000,40479370,215098356,2017,137.0,"Action,Adventure,Fantasy",6.5,139792
2015-02-06,Jupiter Ascending,179000000,47482519,181982519,2015,127.0,"Action,Adventure,Sci-Fi",5.3,166327
2016-05-27,X-Men: Apocalypse,178000000,155442489,542537546,2016,144.0,"Action,Adventure,Sci-Fi",7.0,356556
2018-08-10,The Meg,178000000,145443742,529530715,2018,113.0,"Action,Horror,Sci-Fi",5.7,114042
2014-06-06,Edge of Tomorrow,178000000,100206256,370541256,2014,113.0,"Action,Sci-Fi",7.9,546284
2019-03-08,Captain Marvel,175000000,426525952,1123061550,2019,123.0,"Action,Adventure,Sci-Fi",7.0,296225
2016-04-15,The Jungle Book,175000000,364001123,962854547,2014,64.0,Animation,7.0,59
2015-06-19,Inside Out,175000000,356461711,854235992,2011,59.0,Family,7.3,15
2017-07-07,Spider-Man: Homecoming,175000000,334201140,880166350,2017,133.0,"Action,Adventure,Sci-Fi",7.5,426302
2016-08-05,Suicide Squad,175000000,325100054,746059887,2016,123.0,"Action,Adventure,Fantasy",6.0,533039
2017-11-22,Coco,175000000,209726015,798008101,2017,98.0,Horror,7.4,35
2017-06-16,Cars 3,175000000,152901115,383541369,2017,102.0,"Adventure,Animation,Comedy",6.8,59408
2017-05-12,King Arthur: Legend of the Sword,175000000,39175066,139630336,2017,126.0,"Action,Adventure,Drama",6.8,169054
2013-12-25,47 Ronin,175000000,38362475,151716815,2013,128.0,"Action,Adventure,Drama",6.3,135754
2018-06-22,Jurassic World: Fallen Kingdom,170000000,417719760,1305772799,2018,128.0,"Action,Adventure,Sci-Fi",6.2,219125
2014-08-01,Guardians of the Galaxy,170000000,333172112,770867516,2014,121.0,"Action,Adventure,Comedy",8.1,948394
2010-05-07,Iron Man 2,170000000,312433331,621156389,2010,124.0,"Action,Adventure,Sci-Fi",7.0,657690
2014-04-04,Captain America: The Winter Soldier,170000000,259746958,714401889,2014,136.0,"Action,Adventure,Sci-Fi",7.8,666252
2014-07-11,Dawn of the Planet of the Apes,170000000,208545589,710644566,2014,130.0,"Action,Adventure,Drama",7.6,390199
2012-06-01,Snow White and the Huntsman,170000000,155136755,401021746,2012,127.0,"Action,Adventure,Drama",6.1,258938
2019-03-29,Dumbo,170000000,113883318,345004422,2019,112.0,"Adventure,Family,Fantasy",6.6,25072
2015-05-22,Tomorrowland,170000000,93436322,206627518,2015,130.0,"Action,Adventure,Family",6.4,161343
2019-02-14,Alita: Battle Angel,170000000,85710210,402976036,2019,122.0,"Action,Adventure,Sci-Fi",7.5,88207
2019-05-31,Godzilla: King of the Monsters,170000000,85576941,299276941,2019,132.0,"Action,Adventure,Fantasy",6.7,36479
2016-05-27,Alice Through the Looking Glass,170000000,77042381,276928112,2016,113.0,"Adventure,Family,Fantasy",6.2,79951
2010-05-21,Shrek Forever After,165000000,238736787,756244673,2010,93.0,"Adventure,Animation,Comedy",6.3,167532
2016-11-04,Doctor Strange,165000000,232641920,676404566,2016,115.0,"Action,Adventure,Fantasy",7.5,514510
2014-11-07,Big Hero 6,165000000,222527828,652127828,2014,102.0,"Action,Adventure,Animation",7.8,371204
2010-03-26,How to Train Your Dragon,165000000,217581232,494870992,2010,98.0,"Action,Adventure,Animation",8.1,611299
2012-11-02,Wreck-It Ralph,165000000,189412677,496511521,2012,101.0,"Adventure,Animation,Comedy",7.7,344496
2014-11-05,Interstellar,165000000,188017894,666379375,2014,169.0,"Adventure,Drama,Sci-Fi",8.6,1299334
2016-06-24,Independence Day: Resurgence,165000000,103144286,384169424,2016,120.0,"Action,Adventure,Sci-Fi",5.2,155344
2017-03-17,Beauty and the Beast,160000000,504014165,1259199706,2017,129.0,"Family,Fantasy,Musical",7.2,238325
2018-12-21,Aquaman,160000000,335061807,1146894640,2018,143.0,"Action,Adventure,Fantasy",7.1,263328
2010-07-16,Inception,160000000,292576195,835524642,2010,148.0,"Action,Adventure,Sci-Fi",8.8,1841066
2015-11-20,The Hunger Games: Mockingjay - Part 2,160000000,281723902,648986787,2015,137.0,"Action,Adventure,Sci-Fi",6.6,252384
2014-05-16,Godzilla,160000000,200676069,529076069,2014,123.0,"Action,Adventure,Sci-Fi",6.4,350687
