release_date,title,prod_budget,worldwide_gross,genre,average_rating,ROI,release_year,season_released
2017-08-04,Kidnap,21000000,34836080,Thriller,5.9,0.6588609523809524,2017,Summer
2011-12-09,Tinker Tailor Soldier Spy,21000000,81452811,Mystery,7.1,2.8787052857142856,2011,Winter
2011-12-09,Tinker Tailor Soldier Spy,21000000,81452811,Thriller,7.1,2.8787052857142856,2011,Winter
2013-07-19,The Conjuring,20000000,318000141,Horror,7.5,14.90000705,2013,Summer
2013-07-19,The Conjuring,20000000,318000141,Mystery,7.5,14.90000705,2013,Summer
2013-07-19,The Conjuring,20000000,318000141,Thriller,7.5,14.90000705,2013,Summer
2010-10-15,Jackass 3D,20000000,171685793,Documentary,7.0,7.58428965,2010,Fall
2019-01-18,Glass,20000000,245303505,Horror,3.4,11.26517525,2019,Winter
2019-01-18,Glass,20000000,245303505,Mystery,3.4,11.26517525,2019,Winter
2013-10-18,12 Years a Slave,20000000,181025343,Biography,8.1,8.05126715,2013,Fall
2015-01-09,Selma,20000000,66776576,Biography,7.5,2.3388288,2015,Winter
2018-03-30,Acrimony,20000000,46627836,Thriller,5.7,1.3313918,2018,Spring
2016-02-19,Risen,20000000,46255763,Biography,5.3,1.31278815,2016,Winter
2010-09-01,The American,20000000,67950723,Thriller,6.3,2.39753615,2010,Fall
2013-01-04,Texas Chainsaw 3D,20000000,47666013,Horror,4.8,1.38330065,2013,Winter
2013-01-04,Texas Chainsaw 3D,20000000,47666013,Thriller,4.8,1.38330065,2013,Winter
2008-11-26,Milk,20000000,57293371,Documentary,7.2,1.86466855,2008,Fall
2011-08-31,The Debt,20000000,46604054,Thriller,6.9,1.3302027,2011,Summer
2018-12-25,On the Basis of Sex,20000000,38073377,Biography,6.9,0.90366885,2018,Winter
2017-06-16,Rough Night,20000000,46844357,Thriller,5.2,1.34221785,2017,Summer
1998-12-04,Psycho,20000000,37226218,Thriller,5.2,0.8613109,1998,Winter
1998-10-30,Vampires,20000000,20268825,Horror,6.2,0.01344125,1998,Fall
2015-11-20,Secret in Their Eyes,20000000,32608019,Mystery,6.3,0.63040095,2015,Fall
2012-04-13,Lockout,20000000,33943049,Thriller,6.1,0.69715245,2012,Spring
2016-02-26,Triple 9,20000000,25943792,Thriller,6.3,0.2971896,2016,Winter
2010-10-01,Let Me In,20000000,28270399,Horror,7.1,0.41351995,2010,Fall
2012-09-07,The Cold Light of Day,20000000,25361206,Thriller,4.9,0.2680603,2012,Fall
2010-02-26,The Crazies,19000000,56445534,Horror,6.5,1.9708175789473685,2010,Winter
2010-02-26,The Crazies,19000000,56445534,Thriller,6.5,1.9708175789473685,2010,Winter
1994-07-29,The Mask,18000000,351620129,Thriller,5.7,18.534451611111113,1994,Summer
1988-06-03,Big,18000000,151668774,Documentary,8.5,7.426043,1988,Summer
2015-09-11,The Perfect Guy,18000000,60278166,Horror,5.6,2.348787,2015,Fall
2011-04-08,Soul Surfer,18000000,47158652,Biography,7.1,1.619925111111111,2011,Spring
2009-09-25,Fame,18000000,80227619,Documentary,8.6,3.4570899444444443,2009,Fall
2017-04-28,The Circle,18000000,40651864,Documentary,7.6,1.2584368888888888,2017,Spring
2010-11-05,127 Hours,18000000,60217171,Biography,7.6,2.345398388888889,2010,Fall
2013-08-16,Jobs,18000000,43402515,Biography,5.9,1.4112508333333333,2013,Summer
2014-04-11,The Railway Man,18000000,23910210,Biography,7.1,0.328345,2014,Spring
2018-04-06,A Quiet Place,17000000,334522294,Documentary,6.6,18.677782,2018,Spring
1986-07-18,Aliens,17000000,183316455,Mystery,2.7,9.78332088235294,1986,Summer
2013-04-05,Evil Dead,17000000,97778356,Horror,6.5,4.751668,2013,Spring
2013-04-05,Evil Dead,17000000,97778356,Thriller,6.5,4.751668,2013,Spring
2010-10-29,Saw 3D,17000000,133735284,Horror,5.6,6.8667814117647055,2010,Fall
2010-10-29,Saw 3D,17000000,133735284,Mystery,5.6,6.8667814117647055,2010,Fall
2015-02-20,"McFarland, USA",17000000,45707924,Biography,7.4,1.688701411764706,2015,Winter
2000-05-19,Road Trip,16000000,119739110,Horror,6.5,6.483694375,2000,Spring
2011-02-04,The Roommate,16000000,52545707,Thriller,4.9,2.2841066875,2011,Winter
2018-06-13,Superfly,16000000,20723581,Thriller,5.0,0.2952238125,2018,Summer
2013-04-05,Trance,16000000,22594052,Horror,4.6,0.41212825,2013,Spring
2017-08-11,Annabelle: Creation,15000000,305384865,Horror,6.5,19.358991,2017,Summer
